test_text,retrieval_id,cos_sim,cos_distance,label
Beshte yangu ni jealous,554,0.28310436313428083,0.7168956368657191,0
Nimetoa watu insta,645,0.4973231518572855,0.5026768481427145,0
Nipe links za porn,342,0.3661370820228868,0.6338629179771131,0
Nikitaka ku-dema niende wapi?,38,0.45286419998127897,0.547135800018721,0
Unajua aje which career or job you should take?,645,0.49112116633388436,0.5088788336661156,0
How do I pass grade 9,116,0.4581478073056113,0.5418521926943887,0
"I am an entrepreneur, am having business problems",3,0.5812223345113203,0.4187776654886797,0
Story ya kubet na sports pesa naanza aje?,592,0.5037334443047865,0.4962665556952135,0
Nataka manifestation of wealth and abudance,486,0.6491249642309507,0.3508750357690493,0
Song latest kwa tv ni?,267,0.556218744119847,0.44378125588015305,0
"Natafuta reliable source ya politics, sizielevi sana",8,0.5118358872272747,0.4881641127727253,0
"Nina fifty bob, aki sijui itanisaidia nini, mna pa kulala",98,0.4777655354912482,0.5222344645087518,0
Gava inaweza tupatia loans za bizna?,237,0.6136293821463431,0.3863706178536569,0
Kuna job za vijanaa mtaani,335,0.5841760246543525,0.4158239753456475,0
Jobs na projects kwa mtaa mtu anatoa wapi,421,0.6365233114098022,0.36347668859019777,0
Watoi wako shule na hakuna school fees,46,0.5978495399382991,0.40215046006170085,0
Securiy kwa eststate ni noma,475,0.433039316881394,0.566960683118606,0
"Mathegi  ni wengi, tusaidie",334,0.4865154646397402,0.5134845353602597,0
"Huku ni nare, siwezi tembea, iteni polisi watusaidie",572,0.5262700613351704,0.4737299386648296,0
"Polisi wanatutesa, watu was societies mtusaidie vijanaa",400,0.5270851158995103,0.47291488410048965,0
"Kuna watoi wanatalent, tusaidika aje kuexploit hiyo talent",120,0.4992901655985641,0.5007098344014359,0
Kanjo inadeal aje na mastadi,566,0.48586629055229386,0.5141337094477061,0
"Tumekuwa tukiishi poa, na sasa madevelopers wankuja kuvunja hao. Tutaenda wapi?",655,0.4389027175290332,0.5610972824709668,0
